"(0.01, 0, 0) C-1","(0.01, 0, 0) C-2","(0.01, 0, 0) C-3","(0.01, 0, 0) C-4","(0.01, 0, 0) C-5","(0.01, 0, 0) C-6","(0.01, 0, 0) C-7","(0.01, 0, 0) C-8","(0.01, 0, 0) C-9","(0.01, 0, 0) C-10","(0.01, 0, 0) C-11","(0.01, 0, 0) C-12","(0.01, 0, 0) C-13","(0.01, 0, 0) C-14","(0.01, 0, 0) C-15","(0.01, 0, 0) C-16","(0.01, 0, 0) C-17","(0.01, 0, 0) C-18","(0.01, 0, 0) C-19","(0.01, 0, 0) C-20"
89625.15879821777,86962.6695098877,86777.04281616211,86896.1743927002,88266.72567749023,87149.77476501465,88066.02252197266,86739.48466491699,88634.84545898438,90433.23899841309,86862.06077575684,87246.22431945801,86369.19660949707,87944.17762756348,85545.56198120117,87990.77514648438,87523.59315490723,89902.18940734863,88883.5086517334,87957.92362976074
88948.8765411377,86177.8766784668,86080.79090881348,86194.74212646484,87649.39878845215,86475.86831665039,87396.66522216797,86445.15182495117,87766.37841796875,89956.51216125488,86522.0926361084,86557.99766540527,85438.98994445801,87200.16073608398,85169.56889343262,87305.79400634766,87027.90034484863,89012.04225158691,88063.2105255127,86794.14407348633
88383.32153320312,85410.25465393066,85396.91250610352,85375.71255493164,87190.79328918457,85794.36329650879,86608.6351776123,86087.85771179199,87201.72431945801,89444.77778625488,85835.0404663086,86037.81378173828,84842.11280822754,86783.13415527344,84006.85081481934,86571.1169128418,86120.52392578125,88277.50978088379,87315.69483947754,86544.7663269043
87846.5357208252,84673.48442077637,84496.8321685791,84727.01599121094,86376.01713562012,85587.74156188965,86038.26200866699,84625.43409729004,86489.90116882324,88980.40719604492,84720.81156921387,85414.92436218262,84295.37055969238,85983.68969726562,83532.62593078613,85935.8162689209,85430.71629333496,87546.0366821289,86878.43125915527,85767.94686889648
87331.86531066895,83829.69903564453,83775.74209594727,84092.30401611328,85683.43151855469,85080.85877990723,85108.63458251953,83935.38456726074,85982.53997802734,88496.66094970703,83958.98582458496,84429.0290222168,83580.33131408691,85499.98620605469,82966.87504577637,85462.1120300293,84796.43762207031,86946.74862670898,86340.0481262207,85024.86334228516
86920.90232849121,83330.06098937988,83051.36975097656,83464.18911743164,85206.85348510742,84231.73924255371,84575.98364257812,83602.55465698242,85639.14384460449,87702.73657226562,83572.0961151123,83826.9859008789,83021.15727233887,85076.38719177246,82307.24111938477,84875.45626831055,84333.71411132812,86461.08296203613,85808.65600585938,84571.03326416016
86440.07827758789,82599.13478088379,82737.02035522461,82944.4626159668,84918.43278503418,83651.23190307617,84022.80345153809,82841.0089263916,85079.01042175293,87411.76315307617,82980.31480407715,83131.17916870117,82370.7830657959,84388.78437805176,81789.36825561523,84109.12100219727,83934.08674621582,85654.0835723877,84844.38104248047,83921.09028625488
85903.70831298828,82018.89384460449,82105.91131591797,82355.75939941406,84102.89001464844,82869.05422973633,83501.75099182129,82142.01986694336,85099.4839477539,86911.3371887207,82329.8270111084,82645.64543151855,82064.86125183105,83794.61524963379,81473.54780578613,83729.35751342773,83256.57029724121,89642.83218383789,84369.87228393555,83396.77716064453
85542.39501953125,81729.81147766113,81307.93981933594,81646.0518951416,83462.38325500488,82203.42320251465,83050.80981445312,81863.46472167969,84046.66136169434,86665.30285644531,81841.83976745605,81965.64990234375,81409.38772583008,83399.54501342773,80289.04309082031,83186.94050598145,82520.00189208984,88439.00065612793,83787.6513671875,82773.34274291992
85080.69902038574,80853.75135803223,80872.2352142334,81094.69857788086,83068.1929321289,81954.79696655273,82216.31474304199,80839.70518493652,83730.32225036621,85883.05928039551,81418.11990356445,81368.48327636719,80989.66833496094,82762.95762634277,79811.39329528809,82789.63977050781,82037.05165100098,86464.39692687988,83289.61701965332,82173.2328491211
84690.35025024414,80485.2163696289,80290.25860595703,80955.17607116699,82333.1435546875,81290.33903503418,82069.30418395996,80281.2686920166,83413.85191345215,85552.22523498535,81063.08526611328,80899.75830078125,80912.5902709961,82004.29275512695,79408.13131713867,82510.00517272949,81643.1842956543,85233.63719177246,82660.02116394043,81672.04927062988
84194.16676330566,80014.23320007324,79778.1273803711,80179.28964233398,81812.28759765625,80705.2742767334,81304.9275970459,79955.99462890625,82799.0571899414,85141.93495178223,80290.54280090332,80376.00944519043,79803.16807556152,81603.47296142578,78906.3911743164,81639.01251220703,81372.14544677734,84608.59970092773,82230.53909301758,81122.77935791016
